,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
3331,3331.0,2021-04-12 06:53:46.866095+00:00,x,y,2021-05-13 11:00:00+00:00,2021-05-13 13:00:00+00:00,gamma,True,20,2,c-4,3331,8650
4788,4788.0,2021-08-13 12:07:46.700168+00:00,x,y,2021-08-17 14:00:00+00:00,2021-08-17 16:00:00+00:00,gamma,True,20,2,c-4,4788,8739
2279,2279.0,2021-06-03 11:24:25.850749+00:00,x,y,2021-08-05 14:00:00+00:00,2021-08-05 15:55:00+00:00,beta,True,20,0,b-9,2279,7400
956,956.0,2021-04-20 20:42:25.376881+00:00,x,y,2021-05-30 11:00:00+00:00,2021-05-30 13:00:00+00:00,gamma,True,20,1,c-4,956,8739
2798,2798.0,2021-05-23 09:33:48.699422+00:00,x,y,2021-06-04 13:00:00+00:00,2021-06-04 15:00:00+00:00,alpha,True,35,1,a-5,2798,8739
1312,1312.0,2021-05-20 06:01:39.848823+00:00,x,y,2021-05-26 17:00:00+00:00,2021-05-26 18:59:00+00:00,gamma,True,20,2,c-6,1312,8697
496,496.0,2021-05-03 15:51:07.282973+00:00,x,y,2021-05-04 13:30:00+00:00,2021-05-04 15:30:00+00:00,alpha,True,15,1,a-5,496,8650
1076,1076.0,2021-06-30 11:02:58.615133+00:00,x,y,2021-09-26 13:00:00+00:00,2021-09-26 15:00:00+00:00,alpha,True,15,1,a-9,1076,8650
368,368.0,2021-08-18 10:08:13.709541+00:00,x,y,2021-08-23 10:00:00+00:00,2021-08-23 12:00:00+00:00,alpha,True,15,1,a-7,368,8739
3,3.0,2021-06-05 11:09:48.655927+00:00,x,y,2021-06-09 16:00:00+00:00,2021-06-09 18:00:00+00:00,alpha,True,15,1,a-23,3,10400
3470,3470.0,2021-08-01 15:24:36.595125+00:00,x,y,2021-08-26 11:00:00+00:00,2021-08-26 12:55:00+00:00,beta,True,20,0,b-69,3470,11742
169,169.0,2021-03-03 15:31:03.327441+00:00,x,y,2021-05-04 05:00:00+00:00,2021-05-04 07:00:00+00:00,alpha,True,35,1,a-1,169,10227
2921,2921.0,2021-07-11 05:21:16.285294+00:00,x,y,2021-07-21 05:00:00+00:00,2021-07-21 06:55:00+00:00,beta,True,20,0,b-1,2921,13097
2007,2007.0,2021-06-21 15:17:49.695488+00:00,x,y,2021-07-11 07:00:00+00:00,2021-07-11 09:00:00+00:00,alpha,True,35,1,a-5,2007,7400
2829,2829.0,2021-06-28 09:05:02.705958+00:00,x,y,2021-07-13 14:00:00+00:00,2021-07-13 15:55:00+00:00,beta,True,20,0,b-9,2829,8697
424,424.0,2021-08-01 20:11:37.140496+00:00,x,y,2021-08-03 13:00:00+00:00,2021-08-03 14:55:00+00:00,beta,True,40,0,b-369,424,13097
278,278.0,2021-07-07 22:23:29.336035+00:00,x,y,2021-07-12 16:00:00+00:00,2021-07-12 18:00:00+00:00,alpha,True,15,1,a-23,278,9150
3847,3847.0,2021-08-23 18:13:43.275079+00:00,x,y,2021-09-12 10:00:00+00:00,2021-09-12 12:00:00+00:00,alpha,True,15,1,a-7,3847,8739
3717,3717.0,2021-02-15 14:57:02.851590+00:00,x,y,2021-03-21 05:00:00+00:00,2021-03-21 06:55:00+00:00,beta,True,20,0,b-1,3717,8739
2814,2814.0,2021-07-19 16:09:38.861508+00:00,x,y,2021-07-25 14:00:00+00:00,2021-07-25 16:00:00+00:00,gamma,True,20,2,c-4,2814,8697
3872,3872.0,2021-01-20 13:36:53.054750+00:00,x,y,2021-01-27 11:00:00+00:00,2021-01-27 13:00:00+00:00,gamma,True,32,1,c-4,3872,10721
1558,1558.0,2021-05-14 12:40:08.777535+00:00,x,y,2021-05-29 13:00:00+00:00,2021-05-29 15:00:00+00:00,alpha,True,35,1,a-5,1558,9877
2562,2562.0,2021-04-23 06:20:56.823828+00:00,x,y,2021-05-19 17:00:00+00:00,2021-05-19 18:59:00+00:00,gamma,True,20,1,c-6,2562,10227
4133,4133.0,2021-08-10 17:24:26.079002+00:00,x,y,2021-08-24 13:00:00+00:00,2021-08-24 15:00:00+00:00,alpha,True,15,1,a-9,4133,10227
4093,4093.0,2021-05-08 19:27:20.859535+00:00,x,y,2021-05-19 16:00:00+00:00,2021-05-19 18:00:00+00:00,alpha,True,35,1,a-7,4093,8739
315,315.0,2021-05-19 15:33:25.237092+00:00,x,y,2021-10-17 05:00:00+00:00,2021-10-17 07:00:00+00:00,gamma,True,20,2,c-2,315,8697
3889,3889.0,2021-08-08 08:37:18.836436+00:00,x,y,2021-08-10 13:00:00+00:00,2021-08-10 15:00:00+00:00,alpha,True,20,1,a-9,3889,10227
4462,4462.0,2021-06-29 06:10:10.040041+00:00,x,y,2021-07-08 14:45:00+00:00,2021-07-08 16:45:00+00:00,gamma,True,20,2,c-4,4462,8739
2889,2889.0,2021-06-16 09:09:15.864837+00:00,x,y,2021-08-02 16:00:00+00:00,2021-08-02 18:00:00+00:00,alpha,True,35,1,a-23,2889,32545
764,764.0,2021-08-25 04:21:50.532039+00:00,x,y,2021-09-27 17:00:00+00:00,2021-09-27 18:59:00+00:00,gamma,True,20,1,c-6,764,7400
1949,1949.0,2021-06-20 19:13:59.215597+00:00,x,y,2021-07-03 16:00:00+00:00,2021-07-03 18:00:00+00:00,alpha,True,15,1,a-23,1949,10227
1161,1161.0,2021-03-09 11:49:18.093820+00:00,x,y,2021-03-26 13:30:00+00:00,2021-03-26 15:30:00+00:00,alpha,True,35,1,a-5,1161,8697
2089,2089.0,2021-08-10 01:16:00.967046+00:00,x,y,2021-08-14 10:00:00+00:00,2021-08-14 12:00:00+00:00,gamma,True,20,1,c-2,2089,8697
1442,1442.0,2021-08-10 02:28:46.475535+00:00,x,y,2021-08-18 14:00:00+00:00,2021-08-18 16:00:00+00:00,gamma,True,20,2,c-4,1442,8739
812,812.0,2021-07-06 18:03:54.183085+00:00,x,y,2021-08-10 05:00:00+00:00,2021-08-10 06:55:00+00:00,beta,True,40,0,b-1,812,11716
4867,4867.0,2021-08-18 16:10:50.925755+00:00,x,y,2021-08-20 11:00:00+00:00,2021-08-20 13:00:00+00:00,alpha,True,20,1,a-7,4867,10227
927,927.0,2021-01-05 08:30:22.659979+00:00,x,y,2021-01-20 13:00:00+00:00,2021-01-20 15:00:00+00:00,alpha,True,20,1,a-5,927,8739
4419,4419.0,2021-01-14 09:03:32.706000+00:00,x,y,2021-02-08 14:00:00+00:00,2021-02-08 15:55:00+00:00,beta,False,20,0,b-9,4419,8697
4903,4903.0,2021-07-14 21:19:31.076733+00:00,x,y,2021-07-31 16:00:00+00:00,2021-07-31 18:00:00+00:00,alpha,True,15,1,a-23,4903,12425
3640,3640.0,2021-08-29 16:34:38.405397+00:00,x,y,2021-09-06 10:30:00+00:00,2021-09-06 12:25:00+00:00,beta,True,40,0,b-69,3640,8650
1229,1229.0,2021-07-24 10:52:06.275436+00:00,x,y,2021-08-06 14:00:00+00:00,2021-08-06 15:55:00+00:00,beta,True,40,0,b-9,1229,8739
562,562.0,2021-02-22 07:54:34.714797+00:00,x,y,2021-03-24 05:00:00+00:00,2021-03-24 07:00:00+00:00,gamma,True,20,1,c-2,562,8739
2775,2775.0,2021-06-14 15:32:27.269257+00:00,x,y,2021-06-25 17:00:00+00:00,2021-06-25 18:59:00+00:00,gamma,True,20,2,c-6,2775,13097
3743,3743.0,2021-05-01 17:15:01.249388+00:00,x,y,2021-05-22 11:00:00+00:00,2021-05-22 13:00:00+00:00,gamma,True,20,1,c-4,3743,10227
1987,1987.0,2021-06-16 16:18:31.321889+00:00,x,y,2021-06-24 17:00:00+00:00,2021-06-24 18:59:00+00:00,gamma,True,20,1,c-6,1987,10227
264,264.0,2021-05-30 12:44:06.241017+00:00,x,y,2021-06-02 05:00:00+00:00,2021-06-02 06:55:00+00:00,beta,True,20,0,b-1,264,8650
3288,3288.0,2021-06-27 15:44:15.305575+00:00,x,y,2021-07-03 05:00:00+00:00,2021-07-03 06:55:00+00:00,beta,True,20,0,b-1,3288,9877
1253,1253.0,2021-08-24 08:45:34.077855+00:00,x,y,2021-09-20 10:00:00+00:00,2021-09-20 12:00:00+00:00,alpha,True,15,1,a-7,1253,9405
1994,1994.0,2021-06-29 07:04:32.330130+00:00,x,y,2021-07-04 09:45:00+00:00,2021-07-04 11:45:00+00:00,gamma,True,20,1,c-2,1994,8739
4959,4959.0,2021-05-28 10:52:39.959048+00:00,x,y,2021-07-05 05:00:00+00:00,2021-07-05 07:00:00+00:00,gamma,True,20,1,c-2,4959,8697
1929,1929.0,2021-03-11 08:23:45.921729+00:00,x,y,2021-03-28 13:30:00+00:00,2021-03-28 15:30:00+00:00,alpha,True,35,1,a-5,1929,10227
412,412.0,2021-03-01 08:28:17.830317+00:00,x,y,2021-03-13 16:00:00+00:00,2021-03-13 18:10:00+00:00,alpha,True,35,1,a-7,412,10227
4417,4417.0,2021-01-25 13:00:25.518038+00:00,x,y,2021-03-12 05:15:00+00:00,2021-03-12 07:25:00+00:00,alpha,True,20,1,a-1,4417,8697
1435,1435.0,2021-07-30 16:07:26.346798+00:00,x,y,2021-08-04 04:00:00+00:00,2021-08-04 06:00:00+00:00,alpha,True,15,1,a-1,1435,13097
2029,2029.0,2021-06-21 08:56:34.428808+00:00,x,y,2021-08-23 17:00:00+00:00,2021-08-23 18:59:00+00:00,gamma,True,20,2,c-6,2029,8697
3298,3298.0,2021-08-19 10:47:59.973777+00:00,x,y,2021-09-17 17:00:00+00:00,2021-09-17 18:59:00+00:00,gamma,True,20,2,c-6,3298,8155
1538,1538.0,2021-08-09 19:46:31.535715+00:00,x,y,2021-08-11 13:00:00+00:00,2021-08-11 15:00:00+00:00,alpha,True,15,1,a-9,1538,7400
2861,2861.0,2021-07-05 20:41:10.444350+00:00,x,y,2021-07-06 07:00:00+00:00,2021-07-06 09:00:00+00:00,alpha,True,35,1,a-5,2861,8739
1948,1948.0,2021-07-29 20:52:26.813875+00:00,x,y,2021-07-30 14:00:00+00:00,2021-07-30 16:00:00+00:00,gamma,True,20,2,c-4,1948,13097
4890,4890.0,2021-05-16 18:21:55.889507+00:00,x,y,2021-05-20 11:00:00+00:00,2021-05-20 12:55:00+00:00,beta,True,20,0,b-69,4890,7400
3962,3962.0,2021-04-25 15:10:55.868187+00:00,x,y,2021-05-03 14:00:00+00:00,2021-05-03 15:55:00+00:00,beta,True,20,0,b-9,3962,9900
3385,3385.0,2021-08-28 17:13:58.053052+00:00,x,y,2021-09-04 13:00:00+00:00,2021-09-04 15:00:00+00:00,alpha,True,15,1,a-9,3385,10227
117,117.0,2021-06-23 12:45:27.405751+00:00,x,y,2021-06-30 17:00:00+00:00,2021-06-30 18:59:00+00:00,gamma,True,20,1,c-6,117,7400
1512,1512.0,2021-07-09 12:17:16.212167+00:00,x,y,2021-07-19 07:00:00+00:00,2021-07-19 09:00:00+00:00,alpha,True,35,1,a-5,1512,13675
2947,2947.0,2021-04-04 14:32:47.040404+00:00,x,y,2021-05-17 13:30:00+00:00,2021-05-17 15:30:00+00:00,alpha,True,35,1,a-5,2947,8697
2095,2095.0,2021-06-11 14:22:01.667044+00:00,x,y,2021-06-14 05:00:00+00:00,2021-06-14 07:00:00+00:00,gamma,True,20,2,c-2,2095,10227
3353,3353.0,2021-05-07 17:32:05.591658+00:00,x,y,2021-07-16 15:30:00+00:00,2021-07-16 17:30:00+00:00,alpha,True,35,1,a-7,3353,8697
2489,2489.0,2021-08-16 14:18:22.624717+00:00,x,y,2021-08-18 11:00:00+00:00,2021-08-18 12:55:00+00:00,beta,True,40,0,b-69,2489,8650
3738,3738.0,2021-08-11 12:40:07.393624+00:00,x,y,2021-08-24 17:05:00+00:00,2021-08-24 19:05:00+00:00,omega,True,20,1,d-5,3738,12425
4372,4372.0,2021-04-20 17:26:45.887079+00:00,x,y,2021-04-29 14:00:00+00:00,2021-04-29 15:55:00+00:00,beta,True,20,0,b-9,4372,13097
3886,3886.0,2021-04-26 14:44:20.475344+00:00,x,y,2021-05-18 14:00:00+00:00,2021-05-18 15:55:00+00:00,beta,True,20,0,b-9,3886,10227
1276,1276.0,2021-05-27 20:30:28.700284+00:00,x,y,2021-05-29 05:00:00+00:00,2021-05-29 07:00:00+00:00,alpha,True,15,1,a-1,1276,10227
2755,2755.0,2021-08-10 21:13:46.949310+00:00,x,y,2021-08-25 11:00:00+00:00,2021-08-25 12:55:00+00:00,beta,True,20,0,b-69,2755,8739
4716,4716.0,2021-07-06 07:09:36.722530+00:00,x,y,2021-08-06 11:00:00+00:00,2021-08-06 12:55:00+00:00,beta,True,40,0,b-69,4716,8739
3484,3484.0,2021-05-15 00:06:49.309707+00:00,x,y,2021-05-17 17:00:00+00:00,2021-05-17 18:59:00+00:00,gamma,True,20,1,c-6,3484,10227
2610,2610.0,2021-08-08 10:22:17.336724+00:00,x,y,2021-08-20 11:00:00+00:00,2021-08-20 12:55:00+00:00,beta,True,40,0,b-69,2610,11742
3495,3495.0,2021-08-11 07:14:49.615836+00:00,x,y,2021-10-14 11:00:00+00:00,2021-10-14 12:55:00+00:00,beta,True,40,0,b-69,3495,8697
3818,3818.0,2021-03-22 07:12:59.386246+00:00,x,y,2021-03-23 14:00:00+00:00,2021-03-23 15:55:00+00:00,beta,True,40,0,b-9,3818,8739
3059,3059.0,2021-06-17 06:17:16.046284+00:00,x,y,2021-06-17 16:00:00+00:00,2021-06-17 18:00:00+00:00,alpha,True,15,1,a-23,3059,8739
4163,4163.0,2021-01-15 11:25:38.147766+00:00,x,y,2021-01-23 16:00:00+00:00,2021-01-23 18:10:00+00:00,alpha,True,0,0,a-7,4163,9877
4638,4638.0,2021-07-01 06:11:57.801896+00:00,x,y,2021-07-16 05:00:00+00:00,2021-07-16 06:55:00+00:00,beta,True,20,0,b-1,4638,8739
2215,2215.0,2021-05-08 21:34:55.118689+00:00,x,y,2021-05-12 05:00:00+00:00,2021-05-12 07:00:00+00:00,alpha,True,15,1,a-1,2215,10227
2592,2592.0,2021-08-12 03:42:44.799341+00:00,x,y,2021-08-12 17:05:00+00:00,2021-08-12 19:05:00+00:00,omega,True,20,1,d-5,2592,32545
308,308.0,2021-06-12 09:44:11.955616+00:00,x,y,2021-06-20 10:00:00+00:00,2021-06-20 12:00:00+00:00,alpha,True,15,1,a-7,308,13097
4572,4572.0,2021-03-27 08:55:13.276354+00:00,x,y,2021-04-02 05:00:00+00:00,2021-04-02 07:00:00+00:00,gamma,True,20,2,c-2,4572,8739
2985,2985.0,2021-07-18 18:22:17.279087+00:00,x,y,2021-12-07 05:00:00+00:00,2021-12-07 06:55:00+00:00,beta,True,40,0,b-1,2985,11716
3684,3684.0,2021-08-20 04:33:40.920933+00:00,x,y,2021-08-23 10:30:00+00:00,2021-08-23 12:25:00+00:00,beta,True,40,0,b-69,3684,8697
702,702.0,2021-08-07 01:02:10.913883+00:00,x,y,2021-08-23 17:05:00+00:00,2021-08-23 19:05:00+00:00,omega,True,20,1,d-5,702,8697
612,612.0,2021-07-13 16:16:00.554233+00:00,x,y,2021-07-15 16:00:00+00:00,2021-07-15 18:00:00+00:00,alpha,True,15,1,a-23,612,8739
1307,1307.0,2021-07-23 03:58:41.827822+00:00,x,y,2021-07-26 16:00:00+00:00,2021-07-26 18:00:00+00:00,alpha,True,15,1,a-23,1307,8739
2915,2915.0,2021-06-04 09:39:51.512581+00:00,x,y,2021-06-08 16:00:00+00:00,2021-06-08 18:00:00+00:00,alpha,True,15,1,a-23,2915,9150
3933,3933.0,2021-08-15 14:20:22.779160+00:00,x,y,2021-09-10 14:00:00+00:00,2021-09-10 16:00:00+00:00,gamma,True,20,2,c-4,3933,8739
4543,4543.0,2021-08-09 08:42:32.934272+00:00,x,y,2021-08-14 04:00:00+00:00,2021-08-14 06:00:00+00:00,alpha,True,15,1,a-1,4543,8697
4388,4388.0,2021-01-29 14:22:32.420227+00:00,x,y,2021-02-26 16:00:00+00:00,2021-02-26 18:10:00+00:00,alpha,True,20,1,a-7,4388,10227
1717,1717.0,2021-08-22 17:08:28.914871+00:00,x,y,2022-01-31 07:00:00+00:00,2022-01-31 09:00:00+00:00,alpha,True,15,1,a-5,1717,8739
4468,4468.0,2021-05-21 11:39:01.570610+00:00,x,y,2021-05-24 17:00:00+00:00,2021-05-24 18:59:00+00:00,gamma,True,20,1,c-6,4468,8697
696,696.0,2021-05-10 20:04:33.410296+00:00,x,y,2021-05-21 13:00:00+00:00,2021-05-21 15:00:00+00:00,alpha,True,35,1,a-5,696,10227
2213,2213.0,2021-08-31 21:30:20.535761+00:00,x,y,2021-09-27 07:00:00+00:00,2021-09-27 09:00:00+00:00,alpha,True,15,1,a-5,2213,8739
793,793.0,2021-06-27 07:40:48.584176+00:00,x,y,2021-06-29 09:45:00+00:00,2021-06-29 11:45:00+00:00,gamma,True,20,1,c-2,793,9877
2811,2811.0,2021-07-20 15:11:17.187166+00:00,x,y,2021-07-29 16:00:00+00:00,2021-07-29 18:00:00+00:00,alpha,True,35,1,a-23,2811,10227
3197,3197.0,2021-03-07 08:58:25.535418+00:00,x,y,2021-03-07 13:30:00+00:00,2021-03-07 15:30:00+00:00,alpha,True,15,1,a-5,3197,10227
2046,2046.0,2021-03-20 12:10:49.278836+00:00,x,y,2021-03-28 15:30:00+00:00,2021-03-28 17:30:00+00:00,alpha,True,35,1,a-7,2046,10227
