,target
944,8739
945,10227
946,9405
947,8155
948,9405
949,8155
950,8155
951,9405
952,13097
953,13097
954,13097
955,13097
956,8739
957,10227
958,10227
959,8739
960,10227
961,8739
962,8155
963,9405
964,9405
965,8155
966,9405
967,8155
968,13097
969,8697
970,13097
971,13097
972,10227
973,8739
974,10227
975,8739
976,10227
977,8739
978,8155
979,9405
980,8155
981,9405
982,9405
983,8155
984,8697
985,8697
986,8697
987,7400
988,8650
989,9150
990,10400
991,10227
992,8739
993,8739
994,10227
995,8739
996,10227
997,8697
998,8697
999,8697
1000,8697
1001,8739
1002,10227
1003,8739
1004,10227
1005,8739
1006,10227
1007,9900
1008,8650
1009,8650
1010,7400
1011,7400
1012,8650
1013,9150
1014,10400
1015,10227
1016,8739
1017,8739
1018,10227
1019,8739
1020,10227
1021,8697
1022,8697
1023,8697
1024,8697
1025,13097
1026,13097
1027,13097
1028,13097
1029,10227
1030,8739
1031,8739
1032,10227
1033,8739
1034,10227
1035,9405
1036,8155
1037,8155
1038,9405
1039,8155
1040,9405
1041,13097
1042,11742
1043,13097
1044,10227
1045,8739
1046,10227
1047,10227
1048,8739
1049,8739
1050,8697
1051,8697
1052,8697
1053,8697
1054,9900
1055,8650
1056,8650
1057,7400
1058,10227
1059,8739
1060,8739
1061,10227
1062,8739
1063,10227
1064,8697
1065,9877
1066,8697
1067,8697
1068,10227
1069,8739
1070,10227
1071,8739
1072,10227
1073,8739
1074,8395
1075,9645
1076,8650
1077,9900
1078,8697
1079,8697
1080,8697
1081,9150
1082,10400
1083,7400
1084,8650
1085,8739
1086,10227
1087,10227
1088,8739
1089,8739
1090,10227
1091,11420
1092,12670
1093,9877
1094,9877
1095,9877
1096,9877
1097,11716
1098,10227
1099,11716
1100,10227
1101,8739
1102,10227
1103,10721
1104,9877
1105,9877
1106,9655
1107,8405
1108,10160
1109,11410
1110,8739
1111,10227
1112,10227
1113,11716
1114,10227
1115,11716
1116,8697
1117,8697
1118,8697
1119,10227
1120,8739
1121,8739
1122,10227
1123,10227
1124,8739
1125,7400
1126,8650
1127,9900
1128,8650
1129,9877
1130,9877
1131,10721
1132,8405
1133,9655
1134,10227
1135,11716
1136,10227
1137,11716
1138,10227
1139,8739
1140,8697
1141,8697
1142,8697
1143,8697
1144,8739
1145,10227
1146,8739
1147,10227
1148,10227
1149,8739
1150,7400
1151,8650
1152,9900
1153,8650
1154,8697
1155,8697
1156,8697
1157,8697
1158,8697
1159,8697
1160,8697
1161,8697
1162,8739
1163,10227
1164,8739
1165,10227
1166,8739
1167,10227
1168,9900
1169,8650
1170,8650
1171,7400
1172,8697
1173,8697
1174,8697
1175,8697
1176,8739
1177,10227
1178,8739
1179,10227
1180,8739
1181,10227
1182,7400
1183,8650
1184,8650
1185,9900
1186,13097
1187,10721
1188,13097
1189,10227
1190,10227
1191,8739
1192,10227
1193,8739
1194,8739
1195,8697
1196,8697
1197,8697
1198,8697
1199,8697
1200,8697
1201,10227
1202,8739
1203,8739
1204,10227
1205,10227
1206,8739
1207,9900
1208,7400
1209,8650
1210,8650
1211,8650
1212,9900
1213,7400
1214,8650
1215,10227
1216,8739
1217,10227
1218,8739
1219,10227
1220,8739
1221,8697
1222,8697
1223,8697
1224,8650
1225,8650
1226,7400
1227,9900
1228,8739
1229,8739
1230,10227
1231,10227
1232,8739
1233,10227
1234,12425
1235,8910
1236,10160
1237,13675
1238,13097
1239,13097
1240,8697
1241,13097
1242,10227
1243,8739
1244,10227
1245,8739
1246,8739
1247,10227
1248,9405
1249,8155
1250,8155
1251,9405
1252,8155
1253,9405
1254,8697
1255,8697
1256,8697
1257,8697
1258,8650
1259,7400
1260,10400
1261,9150
1262,8739
1263,10227
1264,8739
1265,10227
1266,8739
1267,10227
1268,13097
1269,13097
1270,13097
1271,13097
1272,8739
1273,10227
1274,10227
1275,8739
1276,10227
1277,8739
1278,8155
1279,9405
1280,9405
1281,8155
1282,8155
1283,9405
1284,13097
1285,13097
1286,8697
1287,8739
1288,10227
1289,8739
1290,10227
1291,8739
1292,10227
1293,8650
1294,8650
1295,9900
1296,7400
1297,8697
1298,8697
1299,8697
1300,9877
1301,10665
1302,11915
1303,10227
1304,10227
1305,8739
1306,10227
1307,8739
1308,11716
1309,8697
1310,8697
1311,8697
1312,8697
1313,7400
1314,8650
1315,8650
1316,9900
1317,10227
1318,8739
1319,8739
1320,10227
1321,10227
1322,8739
1323,9877
1324,9877
1325,11742
1326,9655
1327,8405
1328,10227
1329,8739
1330,11716
1331,10227
1332,10227
1333,11716
1334,8697
1335,8697
1336,8697
1337,8697
1338,7400
1339,8650
1340,9150
1341,10400
1342,8739
1343,8739
1344,10227
1345,8739
1346,10227
1347,10227
1348,9877
1349,9877
1350,9877
1351,9877
1352,8739
1353,10227
1354,10227
1355,11716
1356,8739
1357,10227
1358,8697
1359,8697
1360,8697
1361,8697
1362,10227
1363,10227
1364,8739
1365,8739
1366,8739
1367,10227
1368,7400
1369,8650
1370,9150
1371,10400
1372,18156
1373,19845
1374,14691
1375,16178
1376,8697
1377,8697
1378,8697
1379,7400
1380,8650
1381,9150
1382,10400
1383,8697
1384,8697
1385,8697
1386,8697
1387,8739
1388,10227
1389,8739
1390,10227
1391,8739
1392,10227
1393,7400
1394,8650
1395,8650
1396,9900
1397,8697
1398,8697
1399,8697
1400,8697
1401,7400
1402,8650
1403,8650
1404,9900
1405,8739
1406,10227
1407,8739
1408,10227
1409,8739
1410,10227
1411,8697
1412,8697
1413,8697
1414,8697
1415,7400
1416,8650
1417,8650
1418,9900
1419,8739
1420,10227
1421,8739
1422,10227
1423,8739
1424,10227
1425,13097
1426,11742
1427,14267
1428,10227
1429,10227
1430,8739
1431,8739
1432,10227
1433,8739
1434,13097
1435,13097
1436,13097
1437,13097
1438,10227
1439,10227
1440,8739
1441,10227
1442,8739
1443,8739
1444,7400
1445,8650
1446,8650
1447,9900
1448,13097
1449,13097
1450,10721
1451,12425
1452,13675
1453,10227
1454,8739
1455,8739
1456,10227
1457,8739
1458,10227
1459,8697
1460,8697
1461,8697
1462,9877
1463,10227
1464,8739
1465,10227
1466,8739
1467,8739
1468,10227
1469,9900
1470,9645
1471,8395
1472,8650
1473,8697
1474,8697
1475,8697
1476,8697
1477,8739
1478,10227
1479,8739
1480,10227
1481,8739
1482,10227
1483,9900
1484,7400
1485,8650
1486,8650
1487,8697
1488,13097
1489,13097
1490,13097
1491,8739
1492,10227
1493,10227
1494,8739
1495,10227
1496,8739
1497,9405
1498,8155
1499,9405
1500,8155
1501,9405
1502,8155
1503,13097
1504,13097
1505,10721
1506,8739
1507,8739
1508,10227
1509,8739
1510,10227
1511,10227
1512,13675
1513,12425
1514,10160
1515,8910
1516,9877
1517,11742
1518,9877
1519,8739
1520,10227
1521,10227
1522,11716
1523,10227
1524,11716
1525,8405
1526,9655
1527,10160
1528,11410
1529,8697
1530,8697
1531,8697
1532,8739
1533,8739
1534,8739
1535,10227
1536,10227
1537,10227
1538,7400
1539,9900
1540,8650
1541,8650
1542,19845
1543,14691
1544,16178
1545,8697
1546,8697
1547,8697
1548,8739
1549,10227
1550,8739
1551,10227
1552,8739
1553,10227
1554,7400
1555,8650
1556,9900
1557,8650
1558,9877
1559,8697
1560,8697
1561,9877
1562,11716
1563,10227
1564,10227
1565,10227
1566,8739
1567,8739
1568,9877
1569,9877
1570,8697
1571,9877
1572,10227
1573,8739
1574,10227
1575,10227
1576,11716
1577,8739
1578,8697
1579,8697
1580,8697
1581,8697
1582,8739
1583,10227
1584,8739
1585,10227
1586,8739
1587,10227
1588,10400
1589,9150
1590,9150
1591,7900
1592,8697
1593,8697
1594,8697
1595,8697
1596,8697
1597,8697
1598,8697
1599,8697
1600,8650
1601,8650
1602,9900
1603,7400
1604,7400
1605,8650
1606,8650
1607,9900
1608,8739
1609,10227
1610,8739
1611,8739
1612,10227
1613,10227
1614,8739
1615,10227
1616,8739
1617,10227
1618,8739
1619,10227
1620,8697
1621,8697
1622,8697
1623,8697
1624,8650
1625,7400
1626,8650
1627,9900
1628,8739
1629,10227
1630,8739
1631,10227
1632,8739
1633,10227
1634,8697
1635,8697
1636,8697
1637,8697
1638,8739
1639,10227
1640,8739
1641,10227
1642,10227
1643,8739
1644,7400
1645,8650
1646,9150
1647,10400
1648,13097
1649,13097
1650,13097
1651,13097
1652,8739
1653,10227
1654,10227
1655,8739
1656,10227
1657,8739
1658,9405
1659,9405
1660,8155
1661,8155
1662,8155
1663,9405
1664,13097
1665,13097
1666,13097
1667,13097
1668,10227
1669,8739
1670,8739
1671,8739
1672,10227
1673,10227
1674,8155
1675,9405
1676,8155
1677,9405
1678,8155
1679,9405
1680,8697
1681,8697
1682,8697
1683,8697
1684,9900
1685,8650
1686,8650
1687,7400
1688,10227
1689,8739
1690,8739
1691,8739
1692,10227
1693,10227
1694,8697
1695,8697
1696,8697
1697,8697
1698,8697
1699,8697
1700,8697
1701,8697
1702,7400
1703,8650
1704,8650
1705,9900
1706,10227
1707,10227
1708,8739
1709,8739
1710,10227
1711,8739
1712,7400
1713,8650
1714,8650
1715,9900
1716,10227
1717,8739
1718,10227
1719,10227
1720,8739
1721,8739
1722,14267
1723,11742
1724,14267
1725,8739
1726,10227
1727,10227
1728,10227
1729,8739
1730,8739
1731,8697
1732,8697
1733,8697
1734,8697
1735,7400
1736,8650
1737,8650
1738,9900
1739,10227
1740,8739
1741,10227
1742,8739
1743,8739
1744,10227
1745,8697
1746,8697
1747,8697
1748,8697
1749,9900
1750,7400
1751,8650
1752,8650
1753,8739
1754,8739
1755,10227
1756,8739
1757,10227
1758,10227
1759,8697
1760,8697
1761,8697
1762,8697
1763,8739
1764,8739
1765,10227
1766,8739
1767,10227
1768,10227
1769,7400
1770,8650
1771,8650
1772,9900
1773,8697
1774,8697
1775,8697
1776,8697
1777,8697
1778,8697
1779,8697
1780,8697
1781,7400
1782,8650
1783,8650
1784,9900
1785,10227
1786,10227
1787,8739
1788,8739
1789,10227
1790,8739
1791,9877
1792,8697
1793,9877
1794,8697
1795,10665
1796,11915
1797,10227
1798,8739
1799,10227
1800,8739
1801,10227
1802,11716
1803,13097
1804,10721
1805,13097
1806,10227
1807,8739
1808,10227
1809,10227
1810,8739
1811,8739
1812,10160
1813,12425
1814,13675
1815,8910
1816,9877
1817,13097
1818,9877
1819,8739
1820,10227
1821,10227
1822,11716
1823,10227
1824,11716
1825,8697
1826,8697
1827,8697
1828,8697
1829,7400
1830,8650
1831,8650
1832,9900
1833,10227
1834,8739
1835,10227
1836,8739
1837,8739
1838,10227
1839,8697
1840,8697
1841,8697
1842,8697
1843,8650
1844,8650
1845,9900
1846,7400
1847,8739
1848,10227
1849,10227
1850,8739
1851,8739
1852,10227
1853,8697
1854,8697
1855,8697
1856,8739
1857,10227
1858,8739
1859,10227
1860,10227
1861,8739
1862,9150
1863,8650
1864,7400
1865,10400
1866,13097
1867,10721
1868,13097
1869,13675
1870,12425
1871,8739
1872,10227
1873,10227
1874,8739
1875,8739
1876,10227
1877,13097
1878,11742
1879,13097
1880,8739
1881,8739
1882,10227
1883,8739
1884,10227
1885,10227
1886,11742
1887,13097
1888,13097
1889,10227
1890,8739
1891,8739
1892,10227
1893,8739
1894,10227
1895,13097
1896,11742
1897,13097
1898,8739
1899,10227
1900,8739
1901,10227
1902,8739
1903,10227
1904,8697
1905,8697
1906,8697
1907,8697
1908,9900
1909,7400
1910,8650
1911,8650
1912,8739
1913,10227
1914,10227
1915,8739
1916,10227
1917,8739
1918,8697
1919,8697
1920,8697
1921,7400
1922,8650
1923,10400
1924,9150
1925,8739
1926,10227
1927,10227
1928,8739
1929,10227
1930,8739
1931,8697
1932,9877
1933,8697
1934,8697
1935,10227
1936,8739
1937,10227
1938,8739
1939,10227
1940,8739
1941,8395
1942,9900
1943,9645
1944,8650
1945,8697
1946,13097
1947,13097
1948,13097
1949,10227
1950,8739
1951,8739
1952,10227
1953,8739
1954,10227
1955,8155
1956,9405
1957,9405
1958,9405
1959,8155
1960,8155
1961,8697
1962,8697
1963,8697
1964,8697
1965,8739
1966,10227
1967,8739
1968,10227
1969,8739
1970,10227
1971,7900
1972,9150
1973,9150
1974,10400
1975,19845
1976,18156
1977,32545
1978,9877
1979,8697
1980,9877
1981,8697
1982,10665
1983,11915
1984,8739
1985,8739
1986,10227
1987,10227
1988,11716
1989,10227
1990,8697
1991,8697
1992,8697
1993,10227
1994,8739
1995,10227
1996,8739
1997,10227
1998,8739
1999,7400
2000,8650
2001,9150
2002,10400
2003,8697
2004,8697
2005,8697
2006,8697
2007,7400
2008,8650
2009,8650
2010,9900
2011,8739
2012,10227
2013,8739
2014,10227
2015,8739
2016,10227
2017,13675
2018,12425
2019,8739
2020,8739
2021,10227
2022,10227
2023,8739
2024,10227
2025,13097
2026,11742
2027,13097
2028,8697
2029,8697
2030,8697
2031,8697
2032,10227
2033,8739
2034,10227
2035,8739
2036,10227
2037,8739
2038,7400
2039,8650
2040,8650
2041,9900
2042,8697
2043,8697
2044,8697
2045,10227
2046,10227
2047,8739
2048,8739
2049,8739
2050,10227
2051,7400
2052,8650
2053,8650
2054,9900
2055,8697
2056,8697
2057,8697
2058,8697
2059,8739
2060,10227
2061,8739
2062,10227
2063,8739
2064,10227
2065,7900
2066,9150
2067,9150
2068,10400
2069,8697
2070,8697
2071,8697
2072,8697
2073,7400
2074,8650
2075,8650
2076,9900
2077,8739
2078,10227
2079,8739
2080,10227
2081,8739
2082,10227
2083,9877
2084,8697
2085,9877
2086,9877
2087,8697
2088,8697
2089,8697
2090,8697
2091,8739
2092,8739
2093,10227
2094,8739
2095,10227
2096,10227
2097,9150
2098,10400
2099,7900
2100,9150
2101,8697
2102,8697
2103,8697
2104,7400
2105,8650
2106,9150
2107,10400
2108,8739
2109,10227
2110,8739
2111,10227
2112,8739
2113,10227
2114,12425
2115,13675
2116,10227
2117,8739
2118,10227
2119,8739
2120,10227
2121,8739
2122,13097
2123,11742
2124,13097
2125,19845
2126,18156
2127,17666
2128,19155
2129,8697
2130,8697
2131,8697
2132,10227
2133,8739
2134,10227
2135,8739
2136,10227
2137,8739
2138,8697
2139,8697
2140,8697
2141,8697
2142,8650
2143,9900
2144,8650
2145,7400
2146,10227
2147,8739
2148,10227
2149,10227
2150,8739
2151,8739
2152,7900
2153,9150
2154,9150
2155,10400
2156,13097
2157,11742
2158,13097
2159,13675
2160,12425
2161,8739
2162,10227
2163,8739
2164,10227
2165,8739
2166,10227
2167,8697
2168,8697
2169,8697
2170,8697
2171,7400
2172,8650
2173,8650
2174,9900
2175,10227
2176,8739
2177,10227
2178,8739
2179,10227
2180,8739
2181,11742
2182,9877
2183,9877
2184,11716
2185,8739
2186,10227
2187,10227
2188,10227
2189,11716
2190,8697
2191,8697
2192,8697
2193,9150
2194,8650
2195,10400
2196,7400
2197,8739
2198,8739
2199,10227
2200,8739
2201,10227
2202,10227
2203,19845
2204,18156
2205,17666
2206,19155
2207,8697
2208,8697
2209,8697
2210,8697
2211,10227
2212,8739
2213,8739
2214,8739
2215,10227
2216,10227
2217,9150
2218,10400
2219,7400
2220,8650
2221,13097
2222,13097
2223,13097
2224,13097
2225,7400
2226,8650
2227,8650
2228,9900
2229,8697
2230,8697
2231,8697
2232,8697
2233,8739
2234,10227
2235,8739
2236,10227
2237,8739
2238,10227
2239,8650
2240,8650
2241,9900
2242,7400
2243,8697
2244,8697
2245,8697
2246,8650
2247,9150
2248,10400
2249,7400
2250,8739
2251,8739
2252,10227
2253,10227
2254,8739
2255,10227
2256,14267
2257,11742
2258,13097
2259,12425
2260,13675
2261,8739
2262,10227
2263,10227
2264,8739
2265,8739
2266,10227
2267,8697
2268,8697
2269,8697
2270,8697
2271,8739
2272,10227
2273,8739
2274,10227
2275,8739
2276,10227
2277,8650
2278,9150
2279,7400
2280,10400
2281,13097
2282,13097
2283,13097
2284,7400
2285,9900
2286,8650
2287,8650
2288,8739
2289,10227
2290,8739
2291,8739
2292,10227
2293,10227
2294,11742
2295,14267
2296,13097
2297,12425
2298,13675
2299,10227
2300,10227
2301,8739
2302,8739
2303,10227
2304,8739
2305,8697
2306,8697
2307,8697
2308,9900
2309,7400
2310,8650
2311,8650
2312,8739
2313,10227
2314,8739
2315,8739
2316,10227
2317,10227
2318,8697
2319,9877
2320,8697
2321,8697
2322,8739
2323,10227
2324,8739
2325,10227
2326,8739
2327,10227
2328,8395
2329,8650
2330,9645
2331,9900
2332,8697
2333,8697
2334,8697
2335,8697
2336,9900
2337,7400
2338,8650
2339,8650
2340,8739
2341,10227
2342,8739
2343,10227
2344,10227
2345,8739
2346,18156
2347,32545
2348,14267
2349,11742
2350,13097
2351,12425
2352,13675
2353,8739
2354,10227
2355,8739
2356,10227
2357,8739
2358,10227
2359,13097
2360,13097
2361,8697
2362,13097
2363,10227
2364,10227
2365,8739
2366,10227
2367,8739
2368,8739
2369,9405
2370,8155
2371,9405
2372,8155
2373,8155
2374,9405
2375,8697
2376,8697
2377,8697
2378,8697
2379,9900
2380,8650
2381,7400
2382,8650
2383,8739
2384,8739
2385,10227
2386,8739
2387,10227
2388,10227
2389,8697
2390,8697
2391,8697
2392,10400
2393,9150
2394,8650
2395,7400
2396,10227
2397,8739
2398,10227
2399,10227
2400,8739
2401,8739
2402,8697
2403,8697
2404,8697
2405,8697
2406,7400
2407,8650
2408,8650
2409,9900
2410,10227
2411,8739
2412,10227
2413,10227
2414,8739
2415,8739
2416,13097
2417,13097
2418,13097
2419,13097
2420,10227
2421,8739
2422,8739
2423,10227
2424,8739
2425,10227
2426,13097
2427,13097
2428,13097
2429,8697
2430,8739
2431,10227
2432,8739
2433,10227
2434,10227
2435,8739
2436,9405
2437,8155
2438,9405
2439,8155
2440,9405
2441,8155
2442,9405
2443,8155
2444,9405
2445,9405
2446,8155
2447,8155
2448,16800
2449,32545
2450,8697
2451,8697
2452,8697
2453,8697
2454,10227
2455,8739
2456,10227
2457,8739
2458,10227
2459,8739
2460,10400
2461,9150
2462,9150
2463,7900
2464,13097
2465,13097
2466,13097
2467,13097
2468,8739
2469,8739
2470,10227
2471,10227
2472,8739
2473,10227
2474,7400
2475,8650
2476,8650
2477,9900
2478,8697
2479,8697
2480,8697
2481,8697
2482,10227
2483,8739
2484,10227
2485,8739
2486,10227
2487,8739
2488,7400
2489,8650
2490,9150
2491,10400
2492,8697
2493,8697
2494,8697
2495,8697
2496,10227
2497,8739
2498,10227
