Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
35,2021-07-12 15:43:44.879248+00:00,x,y,2021-07-31 10:00:00+00:00,2021-07-31 12:00:00+00:00,alpha,TRUE,15,1,a-7
36,2021-08-26 00:48:31.864011+00:00,x,y,2021-08-27 05:00:00+00:00,2021-08-27 06:55:00+00:00,beta,TRUE,40,0,b-1
37,2021-08-31 03:02:39.331909+00:00,x,y,2021-09-02 13:00:00+00:00,2021-09-02 15:00:00+00:00,alpha,TRUE,20,1,a-9
38,2021-01-30 13:25:16.436445+00:00,x,y,2021-03-30 17:00:00+00:00,2021-03-30 18:59:00+00:00,gamma,TRUE,32,2,c-6
39,2021-08-29 14:49:15.065692+00:00,x,y,2021-10-08 07:00:00+00:00,2021-10-08 09:00:00+00:00,alpha,TRUE,20,1,a-5
40,2021-05-17 08:24:26.996841+00:00,x,y,2021-05-17 17:00:00+00:00,2021-05-17 18:59:00+00:00,gamma,TRUE,20,1,c-6
41,2021-05-29 17:21:53.393069+00:00,x,y,2021-06-29 05:00:00+00:00,2021-06-29 07:00:00+00:00,gamma,TRUE,20,2,c-2
42,2021-08-09 18:47:22.515113+00:00,x,y,2021-08-21 17:05:00+00:00,2021-08-21 19:05:00+00:00,omega,TRUE,20,1,d-5
43,2021-01-25 10:35:05.538876+00:00,x,y,2021-01-25 13:00:00+00:00,2021-01-25 15:00:00+00:00,alpha,TRUE,20,1,a-5
44,2021-06-24 22:18:17.994357+00:00,x,y,2021-07-17 14:00:00+00:00,2021-07-17 16:00:00+00:00,gamma,TRUE,20,2,c-4
45,2021-05-07 16:51:57.350142+00:00,x,y,2021-06-16 05:00:00+00:00,2021-06-16 07:00:00+00:00,alpha,TRUE,35,1,a-1
46,2021-04-19 00:13:01.358987+00:00,x,y,2021-05-01 11:00:00+00:00,2021-05-01 13:00:00+00:00,gamma,TRUE,20,1,c-4
47,2021-06-25 22:33:08.839141+00:00,x,y,2021-07-08 05:00:00+00:00,2021-07-08 06:55:00+00:00,beta,TRUE,20,0,b-1
48,2021-07-05 08:26:18.542226+00:00,x,y,2021-07-15 09:45:00+00:00,2021-07-15 11:45:00+00:00,gamma,TRUE,20,1,c-2
49,2021-07-15 19:04:19.243932+00:00,x,y,2021-07-24 14:00:00+00:00,2021-07-24 15:55:00+00:00,beta,TRUE,40,0,b-9
50,2021-03-25 12:18:15.610163+00:00,x,y,2021-05-12 11:00:00+00:00,2021-05-12 12:55:00+00:00,beta,TRUE,20,0,b-69
51,2021-06-30 15:27:59.236098+00:00,x,y,2021-07-16 07:00:00+00:00,2021-07-16 09:00:00+00:00,alpha,TRUE,15,1,a-5
52,2021-04-28 19:19:49.954386+00:00,x,y,2021-05-08 13:30:00+00:00,2021-05-08 15:30:00+00:00,alpha,TRUE,15,1,a-5
53,2021-03-11 13:28:18.723244+00:00,x,y,2021-03-23 05:00:00+00:00,2021-03-23 07:00:00+00:00,gamma,TRUE,20,2,c-2
54,2021-04-03 02:19:46.464219+00:00,x,y,2021-04-28 15:30:00+00:00,2021-04-28 17:30:00+00:00,alpha,TRUE,15,1,a-7
55,2021-08-11 22:54:16.747384+00:00,x,y,2021-08-18 04:40:00+00:00,2021-08-18 06:40:00+00:00,omega,TRUE,20,1,d-1
56,2021-07-18 17:49:00.658176+00:00,x,y,2021-08-15 10:00:00+00:00,2021-08-15 12:00:00+00:00,alpha,TRUE,15,1,a-7
57,2021-06-13 15:10:03.546252+00:00,x,y,2021-12-18 14:00:00+00:00,2021-12-18 15:55:00+00:00,beta,TRUE,20,0,b-9
58,2021-08-30 07:34:19.961628+00:00,x,y,2021-08-30 16:00:00+00:00,2021-08-30 18:00:00+00:00,alpha,TRUE,20,1,a-23
59,2021-07-02 06:58:14.156063+00:00,x,y,2021-07-26 14:00:00+00:00,2021-07-26 16:00:00+00:00,gamma,TRUE,20,2,c-4
60,2021-05-19 22:25:49.116250+00:00,x,y,2021-05-28 05:00:00+00:00,2021-05-28 07:00:00+00:00,gamma,TRUE,20,1,c-2
61,2021-08-20 01:39:04.748783+00:00,x,y,2021-08-27 14:00:00+00:00,2021-08-27 16:00:00+00:00,gamma,TRUE,20,2,c-4
62,2021-03-27 14:40:21.196217+00:00,x,y,2021-04-12 08:00:00+00:00,2021-04-12 09:55:00+00:00,beta,TRUE,20,0,b-69
63,2021-04-12 08:40:20.368366+00:00,x,y,2021-05-09 11:00:00+00:00,2021-05-09 13:00:00+00:00,gamma,TRUE,20,1,c-4
64,2021-04-06 05:33:29.196693+00:00,x,y,2021-04-09 05:00:00+00:00,2021-04-09 07:00:00+00:00,alpha,TRUE,15,1,a-1
65,2021-01-22 15:15:52.302217+00:00,x,y,2021-02-28 13:30:00+00:00,2021-02-28 15:40:00+00:00,alpha,TRUE,20,1,a-5
66,2021-07-06 10:22:42.137861+00:00,x,y,2021-07-12 16:00:00+00:00,2021-07-12 18:00:00+00:00,alpha,TRUE,15,1,a-23
67,2021-08-22 04:28:15.411641+00:00,x,y,2021-08-29 04:40:00+00:00,2021-08-29 06:40:00+00:00,omega,TRUE,20,1,d-1
68,2021-01-16 10:50:07.888296+00:00,x,y,2021-01-18 16:00:00+00:00,2021-01-18 18:10:00+00:00,alpha,TRUE,0,0,a-7
69,2021-05-19 22:30:35.967010+00:00,x,y,2021-06-01 10:00:00+00:00,2021-06-01 12:00:00+00:00,alpha,TRUE,15,1,a-9
70,2021-08-14 10:57:02.591311+00:00,x,y,2021-08-18 14:00:00+00:00,2021-08-18 16:00:00+00:00,gamma,TRUE,20,2,c-4
71,2021-07-09 13:26:27.154071+00:00,x,y,2021-07-16 05:00:00+00:00,2021-07-16 07:00:00+00:00,alpha,TRUE,15,1,a-1
72,2021-07-17 17:08:36.522426+00:00,x,y,2021-08-02 10:00:00+00:00,2021-08-02 12:00:00+00:00,alpha,TRUE,15,1,a-7
73,2021-07-27 16:28:32.023325+00:00,x,y,2021-08-07 10:00:00+00:00,2021-08-07 12:00:00+00:00,gamma,TRUE,20,2,c-2
74,2021-08-20 09:33:38.799572+00:00,x,y,2021-08-29 14:00:00+00:00,2021-08-29 15:55:00+00:00,beta,TRUE,40,0,b-9
75,2021-08-27 17:05:34.024709+00:00,x,y,2021-09-16 13:00:00+00:00,2021-09-16 15:00:00+00:00,alpha,TRUE,15,1,a-9
76,2021-05-03 11:33:14.451291+00:00,x,y,2021-05-18 05:00:00+00:00,2021-05-18 07:00:00+00:00,alpha,TRUE,15,1,a-1
77,2021-08-26 10:21:17.844600+00:00,x,y,2021-09-19 10:00:00+00:00,2021-09-19 12:00:00+00:00,alpha,TRUE,20,1,a-7
78,2021-01-03 03:49:57.024035+00:00,x,y,2021-02-19 13:30:00+00:00,2021-02-19 15:40:00+00:00,alpha,TRUE,20,1,a-5
79,2021-04-08 17:38:08.468019+00:00,x,y,2021-05-29 05:00:00+00:00,2021-05-29 07:00:00+00:00,alpha,TRUE,15,1,a-1
80,2021-07-22 17:22:32.949072+00:00,x,y,2021-07-27 05:00:00+00:00,2021-07-27 06:55:00+00:00,beta,TRUE,40,0,b-1
81,2021-04-24 15:44:01.732335+00:00,x,y,2021-05-16 17:00:00+00:00,2021-05-16 18:59:00+00:00,gamma,TRUE,20,2,c-6
82,2021-07-03 00:51:37.730935+00:00,x,y,2021-07-28 09:45:00+00:00,2021-07-28 11:45:00+00:00,gamma,TRUE,20,2,c-2
83,2021-07-23 07:50:48.718717+00:00,x,y,2021-07-25 10:00:00+00:00,2021-07-25 12:00:00+00:00,alpha,TRUE,35,1,a-7
84,2021-07-23 09:22:11.018705+00:00,x,y,2021-07-29 14:00:00+00:00,2021-07-29 15:55:00+00:00,beta,TRUE,40,0,b-9
85,2021-02-05 01:36:56.772307+00:00,x,y,2021-02-05 16:00:00+00:00,2021-02-05 18:10:00+00:00,alpha,TRUE,20,1,a-7
86,2021-08-24 18:56:48.224975+00:00,x,y,2021-09-03 13:00:00+00:00,2021-09-03 15:00:00+00:00,alpha,TRUE,20,1,a-9
87,2021-08-01 16:29:00.550114+00:00,x,y,2021-08-08 07:00:00+00:00,2021-08-08 09:00:00+00:00,alpha,TRUE,15,1,a-5
88,2021-07-14 07:45:24.540519+00:00,x,y,2021-07-23 11:00:00+00:00,2021-07-23 12:55:00+00:00,beta,TRUE,40,0,b-69
89,2021-01-12 01:20:21.475995+00:00,x,y,2021-02-06 11:00:00+00:00,2021-02-06 13:00:00+00:00,gamma,TRUE,32,2,c-4
90,2021-08-14 08:48:10.497473+00:00,x,y,2021-08-27 17:00:00+00:00,2021-08-27 18:59:00+00:00,gamma,TRUE,20,1,c-6
91,2021-05-30 12:46:21.150788+00:00,x,y,2021-06-13 05:00:00+00:00,2021-06-13 07:00:00+00:00,gamma,TRUE,20,2,c-2
92,2021-02-04 09:25:40.939593+00:00,x,y,2021-02-06 16:00:00+00:00,2021-02-06 18:10:00+00:00,alpha,TRUE,20,1,a-7
93,2021-08-05 10:17:48.800191+00:00,x,y,2021-12-25 13:00:00+00:00,2021-12-25 15:00:00+00:00,alpha,TRUE,20,1,a-9
94,2021-04-20 17:12:16.287161+00:00,x,y,2021-05-20 17:00:00+00:00,2021-05-20 18:59:00+00:00,gamma,TRUE,20,2,c-6
95,2021-02-28 00:08:11.618735+00:00,x,y,2021-03-01 16:00:00+00:00,2021-03-01 18:10:00+00:00,alpha,TRUE,35,1,a-7
96,2021-02-15 17:15:23.658390+00:00,x,y,2021-03-14 05:15:00+00:00,2021-03-14 07:25:00+00:00,alpha,TRUE,35,1,a-1
97,2021-08-07 22:59:41.497848+00:00,x,y,2021-08-21 04:40:00+00:00,2021-08-21 06:40:00+00:00,omega,TRUE,20,1,d-1
98,2021-06-03 08:29:06.977476+00:00,x,y,2021-08-20 07:00:00+00:00,2021-08-20 09:00:00+00:00,alpha,TRUE,35,1,a-5
99,2021-02-28 19:01:02.038028+00:00,x,y,2021-03-07 05:00:00+00:00,2021-03-07 07:00:00+00:00,gamma,TRUE,20,1,c-2
100,2021-05-26 09:31:40.820136+00:00,x,y,2021-06-03 05:00:00+00:00,2021-06-03 07:00:00+00:00,alpha,TRUE,35,1,a-1
101,2021-08-12 09:47:41.481106+00:00,x,y,2021-08-12 16:00:00+00:00,2021-08-12 18:00:00+00:00,alpha,TRUE,15,1,a-23
102,2021-03-29 13:42:40.207250+00:00,x,y,2021-04-02 17:00:00+00:00,2021-04-02 18:59:00+00:00,gamma,TRUE,20,1,c-6
103,2021-05-03 18:57:36.607619+00:00,x,y,2021-05-29 13:30:00+00:00,2021-05-29 15:30:00+00:00,alpha,TRUE,35,1,a-5
104,2021-06-30 18:29:40.179589+00:00,x,y,2021-07-15 09:45:00+00:00,2021-07-15 11:45:00+00:00,gamma,TRUE,20,2,c-2
105,2021-02-09 16:17:20.117712+00:00,x,y,2021-02-18 11:00:00+00:00,2021-02-18 12:55:00+00:00,beta,TRUE,35,0,b-69
106,2021-07-17 12:29:29.913634+00:00,x,y,2021-07-27 16:00:00+00:00,2021-07-27 18:00:00+00:00,alpha,TRUE,35,1,a-23
107,2021-07-08 09:09:58.932443+00:00,x,y,2021-07-28 10:00:00+00:00,2021-07-28 12:00:00+00:00,alpha,TRUE,15,1,a-7
108,2021-08-28 20:10:35.895118+00:00,x,y,2021-12-24 17:00:00+00:00,2021-12-24 18:59:00+00:00,gamma,TRUE,20,1,c-6
109,2021-01-13 07:57:10.740715+00:00,x,y,2021-01-13 11:00:00+00:00,2021-01-13 13:00:00+00:00,gamma,TRUE,32,2,c-4
110,2021-07-04 19:31:45.162918+00:00,x,y,2021-07-18 14:00:00+00:00,2021-07-18 16:00:00+00:00,gamma,TRUE,20,2,c-4
111,2021-08-20 19:51:02.364643+00:00,x,y,2021-08-24 13:00:00+00:00,2021-08-24 15:00:00+00:00,alpha,TRUE,15,1,a-9
112,2021-08-04 21:05:47.358438+00:00,x,y,2021-08-12 14:00:00+00:00,2021-08-12 16:00:00+00:00,gamma,TRUE,20,1,c-4
113,2021-03-31 14:34:55.129683+00:00,x,y,2021-04-01 13:30:00+00:00,2021-04-01 15:30:00+00:00,alpha,TRUE,15,1,a-5
114,2021-05-28 19:02:10.710681+00:00,x,y,2021-05-29 11:00:00+00:00,2021-05-29 13:00:00+00:00,gamma,TRUE,20,1,c-4
115,2021-07-19 14:42:42.335459+00:00,x,y,2021-07-31 07:00:00+00:00,2021-07-31 09:00:00+00:00,alpha,TRUE,15,1,a-5
116,2021-07-25 20:53:19.716186+00:00,x,y,2021-08-03 07:00:00+00:00,2021-08-03 09:00:00+00:00,alpha,TRUE,15,1,a-5
117,2021-06-23 12:45:27.405751+00:00,x,y,2021-06-30 17:00:00+00:00,2021-06-30 18:59:00+00:00,gamma,TRUE,20,1,c-6
118,2021-07-16 11:00:24.072272+00:00,x,y,2021-07-30 16:00:00+00:00,2021-07-30 18:00:00+00:00,alpha,TRUE,15,1,a-23
119,2021-01-18 18:47:03.445825+00:00,x,y,2021-01-27 11:00:00+00:00,2021-01-27 13:00:00+00:00,gamma,TRUE,0,0,c-4
120,2021-03-06 10:08:04.412330+00:00,x,y,2021-03-26 13:30:00+00:00,2021-03-26 15:30:00+00:00,alpha,TRUE,35,1,a-5
121,2021-08-11 08:20:53.641669+00:00,x,y,2021-09-01 07:00:00+00:00,2021-09-01 09:00:00+00:00,alpha,TRUE,15,1,a-5
122,2021-08-10 18:25:19.580622+00:00,x,y,2021-08-20 04:40:00+00:00,2021-08-20 06:40:00+00:00,omega,TRUE,20,1,d-1
123,2021-06-28 09:13:11.875585+00:00,x,y,2021-06-29 13:00:00+00:00,2021-06-29 15:00:00+00:00,alpha,TRUE,35,1,a-9
124,2021-08-30 15:54:53.639196+00:00,x,y,2021-09-03 11:00:00+00:00,2021-09-03 13:00:00+00:00,gamma,TRUE,20,2,c-4
125,2021-06-28 18:06:05.015028+00:00,x,y,2021-07-17 13:00:00+00:00,2021-07-17 15:00:00+00:00,alpha,TRUE,15,1,a-9
126,2021-03-14 16:55:45.630954+00:00,x,y,2021-04-08 05:00:00+00:00,2021-04-08 07:00:00+00:00,alpha,TRUE,15,1,a-1
127,2021-06-16 01:21:14.198362+00:00,x,y,2021-07-12 10:30:00+00:00,2021-07-12 12:25:00+00:00,beta,TRUE,20,0,b-69
128,2021-06-27 00:05:08.191593+00:00,x,y,2021-06-27 16:00:00+00:00,2021-06-27 18:00:00+00:00,alpha,TRUE,15,1,a-23
129,2021-06-03 08:15:23.991794+00:00,x,y,2021-08-20 13:00:00+00:00,2021-08-20 15:00:00+00:00,alpha,TRUE,15,1,a-9
130,2021-08-17 15:10:42.932718+00:00,x,y,2021-08-18 04:00:00+00:00,2021-08-18 06:00:00+00:00,alpha,TRUE,15,1,a-1
131,2021-03-14 22:31:16.553050+00:00,x,y,2021-03-30 13:30:00+00:00,2021-03-30 15:30:00+00:00,alpha,TRUE,15,1,a-5
132,2021-06-15 11:26:28.514728+00:00,x,y,2021-06-22 16:00:00+00:00,2021-06-22 18:00:00+00:00,alpha,TRUE,15,1,a-23
133,2021-08-11 18:29:30.910651+00:00,x,y,2021-08-15 09:00:00+00:00,2021-08-15 10:55:00+00:00,beta,TRUE,40,0,b-69
134,2021-02-13 13:16:39.774607+00:00,x,y,2021-03-06 11:00:00+00:00,2021-03-06 13:00:00+00:00,gamma,TRUE,32,1,c-4
135,2021-06-12 08:54:17.834118+00:00,x,y,2021-06-20 10:00:00+00:00,2021-06-20 12:00:00+00:00,alpha,TRUE,35,1,a-7
136,2021-08-11 06:53:35.432446+00:00,x,y,2021-08-29 14:00:00+00:00,2021-08-29 15:55:00+00:00,beta,TRUE,40,0,b-9
137,2021-05-21 19:07:39.786928+00:00,x,y,2021-06-01 14:00:00+00:00,2021-06-01 15:55:00+00:00,beta,TRUE,20,0,b-9
138,2021-03-13 07:22:34.766529+00:00,x,y,2021-03-25 15:30:00+00:00,2021-03-25 17:30:00+00:00,alpha,TRUE,35,1,a-7
139,2021-02-10 18:01:17.922255+00:00,x,y,2021-02-11 16:00:00+00:00,2021-02-11 18:10:00+00:00,alpha,TRUE,20,1,a-7
140,2021-03-12 07:43:16.716393+00:00,x,y,2021-03-18 11:00:00+00:00,2021-03-18 13:00:00+00:00,gamma,TRUE,20,1,c-4
141,2021-04-21 20:15:20.190737+00:00,x,y,2021-05-01 13:30:00+00:00,2021-05-01 15:30:00+00:00,alpha,TRUE,35,1,a-5
142,2021-03-13 12:52:40.941407+00:00,x,y,2021-04-07 15:30:00+00:00,2021-04-07 17:30:00+00:00,alpha,TRUE,15,1,a-7
143,2021-02-05 07:33:02.546639+00:00,x,y,2021-02-06 11:00:00+00:00,2021-02-06 13:00:00+00:00,gamma,TRUE,32,1,c-4
144,2021-08-18 14:19:25.925279+00:00,x,y,2021-08-19 14:00:00+00:00,2021-08-19 15:55:00+00:00,beta,TRUE,40,0,b-9
145,2021-01-06 16:07:25.672016+00:00,x,y,2021-01-12 13:00:00+00:00,2021-01-12 15:00:00+00:00,alpha,TRUE,0,0,a-5
146,2021-04-03 23:14:01.358065+00:00,x,y,2021-04-06 15:30:00+00:00,2021-04-06 17:30:00+00:00,alpha,TRUE,15,1,a-7
147,2021-06-08 20:12:25.663987+00:00,x,y,2021-06-16 17:00:00+00:00,2021-06-16 18:59:00+00:00,gamma,TRUE,20,1,c-6
148,2021-04-19 22:39:07.730036+00:00,x,y,2021-05-17 17:00:00+00:00,2021-05-17 18:59:00+00:00,gamma,TRUE,20,1,c-6
149,2021-08-18 16:37:54.395471+00:00,x,y,2021-08-29 04:00:00+00:00,2021-08-29 06:00:00+00:00,alpha,TRUE,15,1,a-1
150,2021-03-18 16:14:36.174476+00:00,x,y,2021-03-21 13:30:00+00:00,2021-03-21 15:30:00+00:00,alpha,TRUE,15,1,a-5
151,2021-06-25 19:37:00.982798+00:00,x,y,2021-07-12 13:00:00+00:00,2021-07-12 15:00:00+00:00,alpha,TRUE,15,1,a-9
152,2021-01-10 17:29:19.898798+00:00,x,y,2021-01-15 16:00:00+00:00,2021-01-15 18:10:00+00:00,alpha,TRUE,20,1,a-7
153,2021-06-29 08:44:04.155125+00:00,x,y,2021-07-18 17:30:00+00:00,2021-07-18 19:30:00+00:00,gamma,TRUE,20,2,c-6
154,2021-05-21 17:52:35.621769+00:00,x,y,2021-05-22 05:00:00+00:00,2021-05-22 07:00:00+00:00,gamma,TRUE,20,1,c-2
155,2021-07-08 09:20:44.968685+00:00,x,y,2021-07-20 17:00:00+00:00,2021-07-20 18:59:00+00:00,gamma,TRUE,20,1,c-6
156,2021-03-01 05:43:57.171705+00:00,x,y,2021-03-01 13:30:00+00:00,2021-03-01 15:40:00+00:00,alpha,TRUE,35,1,a-5
157,2021-07-25 10:53:49.637302+00:00,x,y,2021-08-02 14:00:00+00:00,2021-08-02 16:00:00+00:00,gamma,TRUE,20,2,c-4
158,2021-06-03 13:56:36.016358+00:00,x,y,2021-06-15 11:00:00+00:00,2021-06-15 12:55:00+00:00,beta,TRUE,20,0,b-69
159,2021-08-12 19:41:41.273571+00:00,x,y,2021-08-22 13:00:00+00:00,2021-08-22 15:00:00+00:00,alpha,TRUE,15,1,a-9
160,2021-07-14 13:41:13.251504+00:00,x,y,2021-07-15 17:00:00+00:00,2021-07-15 18:59:00+00:00,gamma,TRUE,20,1,c-6
161,2021-08-17 11:35:17.113350+00:00,x,y,2021-08-31 04:00:00+00:00,2021-08-31 06:00:00+00:00,alpha,TRUE,15,1,a-1
162,2021-07-25 08:34:54.573462+00:00,x,y,2021-08-01 10:00:00+00:00,2021-08-01 12:00:00+00:00,alpha,TRUE,15,1,a-7
163,2021-06-04 03:10:08.062016+00:00,x,y,2021-06-13 17:00:00+00:00,2021-06-13 18:59:00+00:00,gamma,TRUE,20,2,c-6
164,2021-06-15 17:34:59.098197+00:00,x,y,2021-07-10 09:45:00+00:00,2021-07-10 11:45:00+00:00,gamma,TRUE,20,1,c-2
165,2021-08-18 12:01:30.478306+00:00,x,y,2021-08-22 05:00:00+00:00,2021-08-22 06:55:00+00:00,beta,TRUE,40,0,b-1
166,2021-08-15 12:04:25.801973+00:00,x,y,2021-08-31 14:00:00+00:00,2021-08-31 16:00:00+00:00,gamma,TRUE,20,2,c-4
167,2021-03-29 09:22:46.108163+00:00,x,y,2021-05-13 05:00:00+00:00,2021-05-13 07:00:00+00:00,gamma,TRUE,20,2,c-2
168,2020-12-31 16:36:56.880365+00:00,x,y,2021-01-27 05:15:00+00:00,2021-01-27 07:25:00+00:00,alpha,TRUE,20,1,a-1
169,2021-03-03 15:31:03.327441+00:00,x,y,2021-05-04 05:00:00+00:00,2021-05-04 07:00:00+00:00,alpha,TRUE,35,1,a-1
170,2021-07-02 14:07:49.512809+00:00,x,y,2021-07-31 05:00:00+00:00,2021-07-31 06:55:00+00:00,beta,TRUE,40,0,b-1
171,2021-03-08 16:30:29.132750+00:00,x,y,2021-03-14 17:00:00+00:00,2021-03-14 18:59:00+00:00,gamma,TRUE,20,1,c-6
172,2021-06-28 18:11:50.596850+00:00,x,y,2021-07-15 11:00:00+00:00,2021-07-15 12:55:00+00:00,beta,TRUE,40,0,b-69
173,2021-01-20 01:03:14.700021+00:00,x,y,2021-02-04 16:00:00+00:00,2021-02-04 17:55:00+00:00,beta,TRUE,20,0,b-19
174,2021-06-19 12:47:27.588489+00:00,x,y,2021-07-24 07:00:00+00:00,2021-07-24 09:00:00+00:00,alpha,TRUE,15,1,a-5
175,2021-03-26 20:24:25.258865+00:00,x,y,2021-04-03 05:00:00+00:00,2021-04-03 06:55:00+00:00,beta,TRUE,20,0,b-1
176,2021-07-26 04:30:00.422569+00:00,x,y,2021-07-26 16:00:00+00:00,2021-07-26 18:00:00+00:00,alpha,TRUE,35,1,a-23
177,2021-02-04 10:54:28.745381+00:00,x,y,2021-02-11 14:00:00+00:00,2021-02-11 15:55:00+00:00,beta,TRUE,35,0,b-9
178,2021-08-07 09:25:16.021484+00:00,x,y,2021-08-21 14:00:00+00:00,2021-08-21 16:00:00+00:00,gamma,TRUE,20,2,c-4
179,2021-04-26 10:13:20.246933+00:00,x,y,2021-04-29 05:00:00+00:00,2021-04-29 07:00:00+00:00,gamma,TRUE,20,2,c-2
180,2021-02-02 03:06:53.722865+00:00,x,y,2021-02-10 05:00:00+00:00,2021-02-10 06:55:00+00:00,beta,TRUE,35,0,b-1
